Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,44,100730,992548690071,"#LOGIN MGR# Receive Event : SCE_MBUS_EVENT_DEVICE_REMOVED [DeviceId:0x3030d][SubType:2][REASON:0]
"
PROCESS_OUTPUT,STREAM_STDIO,44,100730,992548755225,"#LOGIN MGR# [DeviceQueueMgr::Dequeue(new)] deviceId : 0x000000000003030d / isForce : 0 / isDeviceRemoved : 1
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,992561072766,"[LoginMgr] OnLoginMgrDequeueEvent
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,992561587097,"[LoginMgr:EventQueue] Dequeue - param : {""EventType"":3,""deviceId"":197389,""isDeviceRemoved"":true,""isForce"":false}
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,992562027261,"[LoginMgr:Queue] Dequeue - queueType : Level2 / eventType : QueueEventTypeSelectUser / eventJson : [{""EventType"":3,""deviceId"":1"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,992562119718,"97389,""isDeviceRemoved"":true,""isForce"":false}] / isForce : False / isDeviceRemoved : True
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,993785068566,"[SceShellUI] I/PSM.UI : [FirstClear] : ClearFrameBuffer=False
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996885457551,"[SceShellCore] VM Stats: RSS 720.9, kernel 269.4, wire count 375.5, swap out 0.0, page table CPU 2204/6144 GPU 322/4096
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996885551534,"[SceShellCore] FMEM   1.3/   4.5 NPXS20977 SceSysAvControl.elf
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996885633167,"[SceShellCore] FMEM  11.0/  82.3 NPXS20991 SceSysCore.elf
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996885780634,"[SceShellCore] FMEM  10.0/  55.9 NPXS20973 orbis_audiod.elf
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996885845307,"[SceShellCore] FMEM   3.4/  11.2 NPXS20976 GnmCompositor.elf
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996885902330,"[SceShellCore] FMEM  40.0/ 324.8 NPXS20000 SceShellCore
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996885994965,"[SceShellCore] FMEM  19.9/ 193.6 decid.elf
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996886047448,"[SceShellCore] FMEM 352.8/ 842.4 NPXS20001 SceShellUI
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996886121752,"[SceShellCore] FMEM   6.9/  12.5 NPXS21003 SceAvCapture
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996886216139,"[SceShellCore] FMEM   9.3/  32.4 NPXS21000 SceGameLiveStreaming
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996886313676,"[SceShellCore] FMEM  23.5/ 265.8 NPXS20001 SecureUIProcess.self
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996886456454,"[SceShellCore] FMEM  14.9/  49.6 NPXS21002 ScePartyDaemon
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996886638657,"[SceShellCore] FMEM   4.5/  25.4 NPXS21004 SceVideoCoreServer
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996887071002,"[SceShellCore] FMEM  23.7/  53.1 NPXS21006 SceRemotePlay
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996887267476,"[SceShellCore] FMEM   7.3/  18.1 NPXS21019 SceSocialScreenMgr
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996887491796,"[SceShellCore] FMEM   9.1/ 156.1 NPXS21002 webrtc_daemon.self
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996887712708,"[SceShellCore] FMEM   5.4/   9.8 NPXS21007 SceMusicCoreServer
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996887936212,"[SceShellCore] FMEM   7.5/  14.3 NPXS21020 SceVoiceAndAgent
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996888138898,"[SceShellCore] FMEM   2.3/   5.1 NPXS20967 fs_cleaner.elf
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996888391754,"[SceShellCore] FMEM   2.3/  10.2 NPXS20974 SceVdecProxy.elf
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996888634092,"[SceShellCore] FMEM   2.4/  10.5 NPXS20975 SceVencProxy.elf
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996888860789,"[SceShellCore] FMEM  31.9/ 526.0 NPXS20001 SecureWebProcess.self
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996889062877,"[SceShellCore] FMEM  10.7/ 358.8 NPXS20001 orbis-jsc-compiler.self
"
PROCESS_OUTPUT,STREAM_STDIO,42,100196,996889292384,"[SceShellCore] FMEM 120.6/ 213.8 NPXS22010 SceCdlgApp
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,998626873694,"fps 59.938 (16.684 ms), objects: 2484, coroutines: 1
"
PROCESS_OUTPUT,STREAM_STDIO,39,100135,999694369500,"@ removeSession:L184
"
PROCESS_OUTPUT,STREAM_STDIO,42,100158,999697433396,"[SceSystemStateMgr] Power Mode Change: FULL_GAME
"
PROCESS_OUTPUT,STREAM_STDIO,42,100158,999701220051,"[SceSystemStateMgr] CPU  HLT CP SE CU ACLK DCLK ECLK LCLK SCLK SAMCLK VCLK DispCLK NCLK MemCLK MemP GMC DPM VDD      VDDNB    S"
PROCESS_OUTPUT,STREAM_STDIO,42,100158,999701283860,"OC      
"
PROCESS_OUTPUT,STREAM_STDIO,42,100158,999701495409,"[SceSystemStateMgr] 2100   0 GL  4 36  800  853  711  800  911    800  984     673 1700   1700   GL  GL   3 050/1037 043/1100 0"
PROCESS_OUTPUT,STREAM_STDIO,42,100158,999701553463,"0740f12
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,1003146339733,"[SceShellUI] I/PSM.UI : [NoDraw] : ClearFrameBuffer=False
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,1003704467750,"[SceShellUI] I/PSM.UI : [FirstClear] : ClearFrameBuffer=False
"
PROCESS_OUTPUT,STREAM_STDIO,42,100158,1005026776711,"[SceShellCore] Libc Heap Status: free 42%, in-use 3547.8 KB, trend +6.4 KB/min, peak 4013.9 KB, when 616 [sec]
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,1006604438937,"fps 59.944 (16.682 ms), objects: 2484, coroutines: 1
"
PROCESS_OUTPUT,STREAM_STDIO,44,100493,1013066819055,"[SceShellUI] I/PSM.UI : [NoDraw] : ClearFrameBuffer=False
"
PROCESS_OUTPUT,STREAM_STDIO,63,100936,1014582302296,"fps 59.942 (16.683 ms), objects: 2484, coroutines: 1
"
